deck	version	opponent	result	turn_order	start_quality	opening_hand_quality	sequencing_quality	issue_tags	positive_tags	cards_shined	cards_failed	notes
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	unknown	bad	okay	great	bench pressure|missed setup			Battle VIP Pass	Lost to Mega Greninja. Main issue: bench pressure. Need to review opening hand setup.
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	good	bad	good	bench pressure|missed setup			Battle VIP Pass	
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	first	great	okay	good	bench pressure|missed setup|misplay			Battle VIP Pass	
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	unknown	great	okay	okay	bench pressure|missed setup|stadium lock			Battle VIP Pass	Lost to Mega Greninja. Main issue: bench pressure. Need to review opening hand setup.
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	first	great	okay	bad	bench pressure|missed setup			Battle VIP Pass	
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	good	okay	great	bench pressure|missed setup			Battle VIP Pass	
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	unknown	okay	okay	good	bench pressure|missed setup			Battle VIP Pass	Lost to Mega Greninja. Main issue: bench pressure. Need to review opening hand setup.
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	bad	bad	bad	bench pressure|missed setup			Battle VIP Pass	
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	first	okay	okay	okay	bench pressure|missed setup			Battle VIP Pass	
Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	unknown	great	okay	great	bench pressure|missed setup			Battle VIP Pass	Lost to Mega Greninja. Main issue: bench pressure. Need to review opening hand setup.
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	loss	first	good	okay	great	bench pressure|missed setup			Battle VIP Pass	
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	loss	second	bad	bad	bad	bench pressure|missed setup|bad sequencing			Battle VIP Pass	
