deck	version	opponent	result	went_first	start_quality	opening_hand_quality	sequencing_quality	issue_tags	positive_tags	custom_tags	notes_flag	match_date
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	win	unknown	good	good	good		strong setup|strong recovery		yes	2026-01-18
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	win	second	okay	good	bad		strong setup|key tech mattered		yes	2026-01-19
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	first	good	okay	bad	bench pressure|missed setup|poor prize trade			yes	2026-01-20
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	good	good	good	bench pressure|missed setup|poor prize trade			yes	2026-01-21
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	unknown	great	great	okay	bench pressure|missed setup|poor prize trade			yes	2026-01-22
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	okay	great	good	bench pressure|missed setup|poor prize trade			yes	2026-01-23
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	first	okay	okay	bad	bench pressure|missed setup|poor prize trade			yes	2026-01-24
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	okay	okay	good	bench pressure|missed setup|poor prize trade			yes	2026-01-25
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	unknown	okay	okay	great	bench pressure|missed setup|poor prize trade			yes	2026-01-26
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	great	okay	good	bench pressure|missed setup|poor prize trade			yes	2026-01-27
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	first	great	good	okay	bench pressure|missed setup|poor prize trade			yes	2026-01-28
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	loss	second	good	okay	bad	bench pressure|missed setup|poor prize trade			yes	2026-01-29
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	tie	unknown	bad	okay	okay	supporter drought			yes	2026-01-30
Playtest 1000 - Raging Bolt Lab	v1 Turbo	Mega Greninja	tie	second	okay	okay	okay				yes	2026-01-31
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	win	second	good	good	great		strong recovery		yes	2026-02-01
