page	area	issue	severity	player_impact	recommendation	suggested_file	priority
/dashboard	What changed card	Boolean renders as "true improved" instead of "Matchup trending better"	high	Player sees meaningless text	Fixed: replace `${trainingProgress.currentWeakestImproved}` with "Matchup trending better"	src/components/auth/DashboardContent.tsx	1
/decks/[deckId]	Coach feedback	No deck-specific coaching insight on deck detail page — player goes there expecting analysis of their deck	medium	Player must navigate to /review for deck coaching	Add deck-specific buildPrimaryDeckInsight to deck detail page using deck-filtered matches	src/app/decks/[deckId]/page.tsx	2
/matches/new	Performance	3.1s load time — noticeably slow	medium	Reduces UX quality of most-used flow	Profile server-side data fetching; consider parallel supabase queries or reducing coach computation on this page	src/app/matches/new/page.tsx	3
/review	Visual hierarchy	SessionCoachPanel appears before Coach says hero — two coaching surfaces compete for attention	medium	Player unsure which coaching is the primary recommendation	Demote SessionCoachPanel on review page; rename label or collapse it to "Current mission context"	src/app/review/page.tsx	4
/matchups	Badge language	Per-matchup badge says "Actionable leak" but "priority watchlist" is the product language elsewhere	low	Inconsistent terminology across product	Change getMatchupCoachLabel to return "Priority watchlist" for losing matchups	src/app/matchups/page.tsx	5
/review	Information density	5 secondary insight cards below Coach says hero — all equal visual weight	low	Players may feel overwhelmed or scan past key insights	Show 3 cards, hide remaining behind "Show more insights" expander	src/app/review/page.tsx	6
/matches	Filter UX	Filter panel visible by default on all screen sizes — page starts below the fold content	low	Players must scroll past filters to reach match list	Default filters to collapsed with a "Filter" toggle button; preserve active filter count in the button label	src/app/matches/page.tsx	7
/dashboard	Coach says positioning	Deck coaching card is below the fold on many screens — players may not see it	low	Key coaching feedback missed on first view	Move deck coaching card above the KPI row or integrate into the mission hero panel	src/components/auth/DashboardContent.tsx	8
/matches/new	Post-log reward	Post-log reward doesn't tell player what the just-logged game contributed to their coaching pattern	low	Misses motivation moment — player doesn't know if the game mattered	Add a "This game added to your Item Lock pattern" or "Good Tech signal strengthened" message after save	src/components/matches/MatchLogForm.tsx	9
/matchups	Action text quality	Per-matchup action text is generic for all matchups ("Keep logging and tag every loss")	low	Action text doesn't vary by actual win rate or pattern	Vary action text based on `coachLabel.action` which already differs; ensure text references specific data (e.g. tag names)	src/app/matchups/page.tsx	10
/matches/new	Coach context	SessionCoachPanel visible on log-game page mid-flow — distracts from the task of logging	low	Player interrupted by analysis while trying to record data	Collapse or hide SessionCoachPanel on /matches/new by default; show post-log reward instead	src/app/matches/new/page.tsx	11
/review	Explainer card	"What this page does" card is always visible — noise for returning users	low	Returning players see help text they already understand	Make collapsible or show only for first 3 visits (localStorage flag)	src/app/review/page.tsx	12
/dashboard	Deep analytics	Charts and tables inside "More insights" are rarely needed and add noise	low	Page feels heavy on first open	Consider removing charts entirely or linking to /review instead of rendering inline	src/components/auth/DashboardContent.tsx	13
/matches	Page density	25 match rows is a heavy scroll — especially on mobile	low	Mobile players must scroll extensively	Reduce default page size to 10 on mobile viewports; or add virtual scroll	src/app/matches/page.tsx	14
/matchups	Filter on mobile	6-input filter form stacks taller than one viewport on mobile	low	Mobile players must scroll past the filter to reach the matchup breakdown	Collapse filter form on mobile with "Show filters" button	src/app/matchups/page.tsx	15
