match_id	deck	version	played_at	opponent	result	turn_order	start_quality	opening_hand_quality	sequencing_quality	issue_tags	positive_tags	cards_shined	cards_failed	game_context	session_or_event	focus_matchup	notes
488d1cd3-2be8-47b6-9755-48cee1ef7fd0	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-18T09:00:00.000Z	Mega Greninja	win	unknown	good	good	good		strong setup|strong recovery	Raging Bolt ex		competitive	Midweek cup	Mega Greninja	Beat Mega Greninja. strong setup carried the middle turns.
fc73b21c-e2e9-49ec-bc0e-7d4ce5bf7973	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-19T10:13:00.000Z	Mega Greninja	loss	second	good	okay	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
0d896035-3396-4e55-a340-5819b8100d07	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-20T11:26:00.000Z	Mega Greninja	loss	first	bad	great	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
57112f65-1a87-41fd-a3bf-ef8f3991d100	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-21T12:39:00.000Z	Mega Greninja	loss	second	good	good	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
a921c5bb-e2ec-4888-99d4-b3eee2f6cd7a	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-22T13:52:00.000Z	Mega Greninja	loss	unknown	bad	great	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
db15e6db-f914-4deb-b554-016ed69b097f	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-23T14:05:00.000Z	Mega Greninja	loss	second	okay	okay	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	competitive	Midweek cup	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
9af5457f-3704-441b-af93-f5c0234dea58	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-24T15:18:00.000Z	Mega Greninja	loss	first	bad	okay	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
7c9fc610-08ab-498d-8c5a-55f828081313	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-25T16:31:00.000Z	Mega Greninja	loss	second	great	okay	okay	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
cc1319c2-9123-49ac-9c4e-9fde9b667827	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-26T17:44:00.000Z	Mega Greninja	loss	unknown	bad	okay	okay	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
ed07b48d-8517-4425-979e-3c6f91cb4110	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-27T18:57:00.000Z	Mega Greninja	tie	second	great	bad	okay		strong recovery			testing	RB baseline week 1	Mega Greninja	Mega Greninja tie. Need one cleaner turn to convert this sample into a read.
